JAHR,BFS_NR_GEMEINDE,GEMEINDE_NAME,EINWOHNER,energiebezugsflaeche,erdoelbrennstoffe,erdgas,elektrizitaet,holzenergie,fernwaerme,umweltwaerme,solarwaerme,andere,total
2020,4461,Amriswil,14157,1163632,53.83,33.391,9.435,7.71,4.121,10.892,0.446,0.138,119.962
2020,4401,Arbon,14872,1206961,63.956,32.284,10.533,2.423,8.313,8.959,0.343,0.651,127.462
2020,4536,Basadingen-Schlattingen,1814,168913,9.66,0.269,2.926,3.094,0.096,2.821,0.161,,19.027
2020,4891,Berg (TG),3420,302963,8.805,12.906,3.135,3.533,0.277,3.207,0.279,,32.142
2020,4716,Bettwiesen,1225,91393,4.829,1.266,1.221,1.241,0.031,0.805,0.059,,9.453
2020,4471,Bischofszell,5878,502127,26.497,12.8,5.591,5.719,0.524,5.1,0.237,0.489,56.957
2020,4545,Diessenhofen,4091,356534,13.156,13.141,3.88,4.245,0.35,3.139,0.428,0.014,38.353
2020,4561,Felben-Wellhausen,2864,209914,10.968,1.897,1.745,1.704,2.234,1.741,0.253,0.023,20.565
2020,4726,Fischingen,2831,273988,11.875,,3.891,8.932,3.861,2.611,0.81,0.045,32.025
2020,4495,Hohentannen,610,57279,2.225,,0.76,2.662,0.955,0.319,0.062,,6.983
2020,4816,Homburg,1544,152879,5.259,0.02,1.869,6.423,1.446,2.14,0.065,0.109,17.33
2020,4590,Hüttlingen,825,75284,2.539,,1.285,2.934,0.729,1.055,0.062,0.019,8.623
2020,4821,Hüttwilen,1763,176830,5.082,3.653,2.257,6.384,0.846,2.809,0.116,0.034,21.18
2020,4683,Lengwil,1723,146762,5.57,1.496,1.889,3.355,0.147,2.145,0.134,,14.736
2020,4741,Lommis,1237,101387,5.467,,1.684,1.851,,1.812,0.193,0.013,11.02
2020,4751,Rickenbach (TG),2823,233377,10.115,7.516,1.357,0.755,1.006,0.476,0.766,0.042,22.032
2020,4441,Salmsach,1470,109003,5.125,3.935,1.142,0.919,,1.099,0.202,,12.421
2020,4546,Schlatt (TG),1808,156547,8.346,1.397,2.632,1.961,0.278,2.33,0.266,0.02,17.229
2020,4756,Schönholzerswilen,839,78098,3.068,,1.167,4.142,0.145,0.895,0.151,0.027,9.595
2020,4761,Sirnach,7887,686764,23.715,30.258,4.332,7.247,0.273,4.217,0.55,0.17,70.762
2020,4606,Stettfurt,1217,102792,2.38,4.06,1.507,1.123,0.089,1.728,0.082,0.024,10.993
2020,4696,Tägerwilen,4924,424989,13.607,13.025,4.316,2.192,0.85,5.205,0.101,0.008,39.302
2020,4611,Thundorf,1512,124641,5.495,0.023,1.687,4.138,0.487,1.691,0.163,0.052,13.735
2020,4616,Uesslingen-Buch,1090,100955,5.255,,1.771,2.742,0.072,1.599,0.188,0.008,11.634
2020,4451,Uttwil,1917,160472,5.608,7.094,1.72,0.904,0.01,1.086,0.351,0.203,16.975
2020,4701,Wäldi,1055,120594,4.824,0.553,1.303,3.735,2.235,1.11,0.068,0.019,13.847
2020,4786,Wilen (TG),2518,194593,4.179,10.624,1.179,0.577,0.178,1.312,0.321,0.015,18.387
2020,4711,Affeltrangen,2642,230611,12.428,2.443,3.091,3.989,0.479,2.644,0.411,0.097,25.581
2020,4881,Amlikon-Bissegg,1329,135499,6.706,,2.137,3.372,0.375,2.254,0.162,,15.006
2020,4801,Berlingen,907,99454,4.155,5.918,1.313,0.776,0.031,0.684,0.05,0.055,12.983
2020,4901,Birwinken,1330,108038,6.282,,1.51,3.494,0.77,1.175,0.051,,13.282
2020,4643,Bottighofen,2392,209673,5.362,8.214,1.724,1.174,0.139,2.467,0.214,,19.294
2020,4911,Bürglen (TG),3946,302876,10.392,15.163,2.295,2.101,0.205,2.599,0.266,,33.021
2020,4406,Dozwil,683,52291,2.256,0.824,0.757,1.131,0.063,0.648,0.064,0.01,5.754
2020,4646,Ermatingen,3638,348279,9.711,13.458,3.785,2.498,1.501,3.748,0.141,0.1,34.943
2020,4806,Eschenz,1862,162903,4.893,6.77,1.443,2.093,1.325,1.288,0.382,0.021,18.214
2020,4724,Eschlikon,4564,414006,10.162,15.993,3.153,1.888,3.436,2.937,0.399,0.122,38.091
2020,4566,Frauenfeld,25810,2421357,61.135,136.12,10.362,10.569,10.296,10.619,0.827,0.372,240.3
2020,4571,Gachnang,4472,346141,12.342,10.338,3.495,1.764,0.527,5.212,0.265,,33.944
2020,4486,Hauptwil-Gottshaus,2007,169569,8.09,4.205,2.052,2.839,0.006,2.125,0.254,,19.572
2020,4811,Herdern,1114,99374,5.094,,1.623,3.383,0.915,1.68,0.082,0.015,12.793
2020,4426,Kesswil,997,84872,2.504,4.397,1.006,1.608,,0.627,0.108,0.053,10.303
2020,4681,Langrickenbach,1338,125789,3.44,0.007,1.759,5.912,0.153,1.922,0.396,,13.588
2020,4826,Mammern,677,71306,6.194,2.316,0.849,0.835,0.012,0.644,0.053,0.007,10.91
2020,4591,Matzingen,3019,229696,8.368,6.929,2.81,2.092,0.431,2.732,0.179,,23.541
2020,4831,Müllheim,2994,229697,7.216,11.645,2.083,1.781,0.127,1.614,0.594,,25.061
2020,4746,Münchwilen (TG),5821,488073,18.046,13.457,4.755,2.926,3.078,4.586,0.475,0.051,47.375
2020,4691,Münsterlingen,3492,331152,14.092,24.963,2.382,0.973,0.169,3.161,0.165,0.058,45.963
2020,4601,Neunforn,1080,105965,3.909,,1.871,2.764,1.52,1.88,0.219,0.033,12.196
2020,4436,Romanshorn,11296,943738,33.431,44.16,7.422,3.725,1.525,8.186,0.575,0.176,99.201
2020,4864,Steckborn,3828,352025,16.772,13.838,3.263,2.687,0.096,3.598,0.199,0.046,40.499
2020,4506,Sulgen,3943,353495,13.253,15.688,2.885,2.425,0.23,2.919,0.186,0.165,37.751
2020,4871,Wagenhausen,1765,171333,8.612,2.628,2.0,4.212,0.531,1.34,0.126,0.034,19.482
2020,4781,Wängi,4740,376325,19.633,6.04,4.932,5.071,0.415,5.175,0.208,0.01,41.485
2020,4946,Weinfelden,11588,1171590,23.18,70.325,4.877,3.908,5.346,4.67,1.0,0.268,113.572
2020,4791,Wuppenau,1129,101891,4.19,0.002,1.564,3.745,0.471,1.604,0.243,,11.819
2020,4511,Zihlschlacht-Sitterdorf,2478,214211,8.809,5.847,2.714,3.939,0.55,2.273,0.134,0.137,24.403
2020,4551,Aadorf,9198,725832,24.969,24.941,7.853,7.825,4.17,7.539,0.514,0.021,77.831
2020,4641,Altnau,2336,216754,5.484,4.516,2.174,6.838,0.272,2.487,0.113,0.042,21.926
